Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,1060,100.0,1
gmd:language/gco:CharacterString,1060,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,1060,100.0,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,47,4.4,1
che:CHE_MD_Metadata/gmd:contact,1060,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,1060,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,1060,100.0,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gco:CharacterString,47,4.4,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,47,4.4,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,1060,100.0,1
gmd:CI_Contact/gmd:phone,1060,100.0,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,1060,100.0,1
che:CHE_CI_Telephone/gmd:facsimile/gco:CharacterString,47,4.4,1
gmd:CI_Contact/gmd:address,1060,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,47,4.4,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,47,4.4,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,1060,100.0,1
che:CHE_CI_Address/che:streetName/gco:CharacterString,47,4.4,1
che:CHE_CI_Address/che:streetNumber/gco:CharacterString,47,4.4,1
che:CHE_CI_Address/che:postBox/gco:CharacterString,47,4.4,1
gmd:CI_Contact/gmd:onlineResource,1060,100.0,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,1060,100.0,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,1060,100.0,1
che:CHE_CI_ResponsibleParty/che:individualFirstName/gco:CharacterString,1060,100.0,1
che:CHE_CI_ResponsibleParty/che:individualLastName/gco:CharacterString,1060,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gco:CharacterString,47,4.4,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,47,4.4,1
gmd:dateStamp/gco:DateTime,1060,100.0,1
gmd:metadataStandardName/gco:CharacterString,1060,100.0,1
gmd:metadataStandardVersion/gco:CharacterString,1060,100.0,1
gmd:dataSetURI/gco:CharacterString,47,4.4,1
