#-----Metadata-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_Metadata/gmd:fileIdentifier/gco:CharacterString,607,100.0,1
che:CHE_MD_Metadata/gmd:language/gmd:LanguageCode,607,100.0,1
che:CHE_MD_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode,562,92.6,1
che:CHE_MD_Metadata/gmd:parentIdentifier/gco:CharacterString,8,1.3,1
che:CHE_MD_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode,572,94.2,1
che:CHE_MD_Metadata/gmd:hierarchyLevelName/gco:CharacterString,5,0.8,1
che:CHE_MD_Metadata/gmd:dateStamp/gco:DateTime,607,100.0,1
che:CHE_MD_Metadata/gmd:metadataStandardName/gco:CharacterString,537,88.5,1
che:CHE_MD_Metadata/gmd:metadataStandardVersion/gco:CharacterString,1,0.2,1
che:CHE_MD_Metadata/gmd:dataSetURI/gco:CharacterString,273,45.0,1
che:CHE_MD_Metadata/gmd:contact,607,100.0,1
che:CHE_MD_Metadata/gmd:contentInfo,454,74.8,1
che:CHE_MD_Metadata/gmd:dataQualityInfo,552,90.9,1
che:CHE_MD_Metadata/gmd:distributionInfo,581,95.7,1
che:CHE_MD_Metadata/gmd:identificationInfo,607,100.0,1
che:CHE_MD_Metadata/che:legislationInformation,47,7.7,1
che:CHE_MD_Metadata/gmd:metadataMaintenance,495,81.5,1
che:CHE_MD_Metadata/gmd:portrayalCatalogueInfo,0,0.0,0
che:CHE_MD_Metadata/gmd:referenceSystemInfo,587,96.7,1
che:CHE_MD_Metadata/gmd:spatialRepresentationInfo,231,38.1,1

#-----DataIdentification-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_DataIdentification/gmd:status/gmd:MD_ProgressCode,548,90.3,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,607,100.0,1
che:CHE_MD_DataIdentification/gmd:citation,607,100.0,1
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,600,98.8,1
che:CHE_MD_DataIdentification/gmd:graphicOverview,121,19.9,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,552,90.9,1
