Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,46,100.0,1
gmd:language/gmd:LanguageCode,46,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,46,100.0,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,46,100.0,1
che:CHE_MD_Metadata/gmd:contact,46,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,46,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,46,100.0,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gco:CharacterString,44,95.7,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,44,95.7,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,46,100.0,1
gmd:CI_Contact/gmd:address,46,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,46,100.0,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,46,100.0,1
che:CHE_CI_Address/gmd:country/gco:CharacterString,46,100.0,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,46,100.0,1
gmd:CI_Contact/gmd:onlineResource,46,100.0,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,46,100.0,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,46,100.0,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,46,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gco:CharacterString,46,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,46,100.0,1
gmd:dateStamp/gco:DateTime,46,100.0,1
gmd:metadataStandardName/gco:CharacterString,46,100.0,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,46,100.0,1
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,46,100.0,1
che:CHE_MD_Metadata/gmd:spatialRepresentationInfo,41,89.1,1
gmd:MD_VectorSpatialRepresentation/gmd:geometricObjects,41,89.1,1
gmd:MD_GeometricObjects/gmd:geometricObjectType/gmd:MD_GeometricObjectTypeCode,41,89.1,1
che:CHE_MD_Metadata/gmd:referenceSystemInfo,46,100.0,1
gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,46,100.0,1
gmd:RS_Identifier/gmd:code/gco:CharacterString,46,100.0,1
gmd:RS_Identifier/gmd:code/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,46,100.0,1
che:CHE_MD_Metadata/gmd:identificationInfo,46,100.0,1
che:CHE_MD_DataIdentification/gmd:citation,46,100.0,1
gmd:CI_Citation/gmd:title/gco:CharacterString,46,100.0,1
gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,46,100.0,1
gmd:CI_Citation/gmd:alternateTitle/gco:CharacterString,46,100.0,1
gmd:CI_Citation/gmd:alternateTitle/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,46,100.0,1
gmd:CI_Citation/gmd:date,46,100.0,1
gmd:CI_Date/gmd:date/gco:DateTime,25,54.3,1
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,46,100.0,1
gmd:CI_Citation/gmd:identifier,46,100.0,1
gmd:MD_Identifier/gmd:code/gco:CharacterString,45,97.8,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,40,87.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,39,84.8,1
