Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,40,100.0,1
gmd:language/gmd:LanguageCode,40,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,40,100.0,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,40,100.0,1
che:CHE_MD_Metadata/gmd:contact,40,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,40,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,40,100.0,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gco:CharacterString,40,100.0,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,40,100.0,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,40,100.0,1
gmd:CI_Contact/gmd:phone,40,100.0,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,40,100.0,1
gmd:CI_Contact/gmd:address,40,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,40,100.0,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,40,100.0,1
che:CHE_CI_Address/gmd:country/gco:CharacterString,40,100.0,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,40,100.0,1
che:CHE_CI_Address/che:streetName/gco:CharacterString,40,100.0,1
che:CHE_CI_Address/che:streetNumber/gco:CharacterString,40,100.0,1
gmd:CI_Contact/gmd:onlineResource,40,100.0,1
gmd:CI_OnlineResource/gmd:linkage/gmd:URL,40,100.0,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,40,100.0,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,40,100.0,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,40,100.0,1
che:CHE_CI_ResponsibleParty/che:individualFirstName/gco:CharacterString,40,100.0,1
che:CHE_CI_ResponsibleParty/che:individualLastName/gco:CharacterString,40,100.0,1
gmd:dateStamp/gco:DateTime,40,100.0,1
gmd:metadataStandardName/gco:CharacterString,40,100.0,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,40,100.0,1
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,40,100.0,1
che:CHE_MD_Metadata/gmd:identificationInfo,40,100.0,1
che:CHE_MD_DataIdentification/gmd:citation,32,80.0,1
gmd:CI_Citation/gmd:title/gco:CharacterString,40,100.0,1
gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,40,100.0,1
gmd:CI_Citation/gmd:date,40,100.0,1
gmd:CI_Date/gmd:date/gco:Date,40,100.0,1
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,40,100.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,32,80.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,32,80.0,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,32,80.0,1
che:CHE_MD_DataIdentification/gmd:graphicOverview,30,75.0,1
gmd:MD_BrowseGraphic/gmd:fileName/gco:CharacterString,38,95.0,1
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,32,80.0,1
gmd:MD_Keywords/gmd:keyword/gco:CharacterString,40,100.0,1
gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,40,100.0,1
gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,40,100.0,1
gmd:MD_Keywords/gmd:thesaurusName,40,100.0,1
gmd:CI_Citation/gmd:identifier,40,100.0,1
gmd:MD_Identifier/gmd:code/gmx:Anchor,40,100.0,1
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,32,80.0,1
che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,32,80.0,1
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,32,80.0,1
che:CHE_MD_DataIdentification/gmd:extent,32,80.0,1
gmd:EX_Extent/gmd:description/gco:CharacterString,32,80.0,1
gmd:EX_Extent/gmd:description/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,32,80.0,1
gmd:EX_Extent/gmd:geographicElement,32,80.0,1
gmd:EX_GeographicBoundingBox/gmd:westBoundLongitude/gco:Decimal,32,80.0,1
gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal,32,80.0,1
gmd:EX_GeographicBoundingBox/gmd:southBoundLatitude/gco:Decimal,32,80.0,1
gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal,32,80.0,1
gmd:EX_BoundingPolygon/gmd:polygon/gml:MultiSurface/gml:surfaceMember/gml:Polygon/gml:exterior/gml:LinearRing/gml:posList,32,80.0,1
che:CHE_MD_Metadata/gmd:distributionInfo,40,100.0,1
gmd:MD_Distribution/gmd:distributionFormat,40,100.0,1
gmd:MD_Format/gmd:name/gco:CharacterString,40,100.0,1
gmd:MD_Format/gmd:version/gco:CharacterString,40,100.0,1
che:CHE_MD_DataIdentification/gmd:status/gmd:MD_ProgressCode,5,12.5,1
che:CHE_MD_DataIdentification/gmd:resourceConstraints,10,25.0,1
che:CHE_MD_LegalConstraints/gmd:accessConstraints/gmd:MD_RestrictionCode,6,15.0,1
gmd:hierarchyLevelName/gco:CharacterString,8,20.0,1
gmd:metadataStandardVersion/gco:CharacterString,8,20.0,1
che:CHE_SV_ServiceIdentification/gmd:citation,8,20.0,1
che:CHE_SV_ServiceIdentification/gmd:abstract/gco:CharacterString,8,20.0,1
che:CHE_SV_ServiceIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,8,20.0,1
che:CHE_SV_ServiceIdentification/gmd:pointOfContact,8,20.0,1
che:CHE_SV_ServiceIdentification/gmd:resourceMaintenance,8,20.0,1
che:CHE_MD_MaintenanceInformation/gmd:maintenanceAndUpdateFrequency/gmd:MD_MaintenanceFrequencyCode,8,20.0,1
che:CHE_SV_ServiceIdentification/gmd:graphicOverview,8,20.0,1
che:CHE_SV_ServiceIdentification/gmd:descriptiveKeywords,8,20.0,1
che:CHE_SV_ServiceIdentification/gmd:resourceConstraints,8,20.0,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints/gmx:Anchor,8,20.0,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,8,20.0,1
che:CHE_SV_ServiceIdentification/srv:serviceType/gco:LocalName,8,20.0,1
che:CHE_SV_ServiceIdentification/srv:serviceTypeVersion/gco:CharacterString,8,20.0,1
che:CHE_SV_ServiceIdentification/srv:coupledResource,7,17.5,1
srv:SV_CoupledResource/srv:operationName/gco:CharacterString,7,17.5,1
srv:SV_CoupledResource/srv:identifier/gco:CharacterString,7,17.5,1
che:CHE_SV_ServiceIdentification/srv:couplingType/srv:SV_CouplingType,8,20.0,1
che:CHE_SV_ServiceIdentification/srv:containsOperations,8,20.0,1
srv:SV_OperationMetadata/srv:operationName/gco:CharacterString,8,20.0,1
