Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,115,100.0,1
gmd:language/gmd:LanguageCode,115,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,115,100.0,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,115,100.0,1
che:CHE_MD_Metadata/gmd:contact,115,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,115,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,115,100.0,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,115,100.0,1
gmd:CI_Contact/gmd:phone,114,99.1,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,114,99.1,1
che:CHE_CI_Telephone/gmd:facsimile/gco:CharacterString,114,99.1,1
gmd:CI_Contact/gmd:address,115,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,115,100.0,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,115,100.0,1
che:CHE_CI_Address/gmd:country/gco:CharacterString,115,100.0,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,115,100.0,1
che:CHE_CI_Address/che:streetName/gco:CharacterString,114,99.1,1
che:CHE_CI_Address/che:streetNumber/gco:CharacterString,114,99.1,1
che:CHE_CI_Address/che:postBox/gco:CharacterString,114,99.1,1
gmd:CI_Contact/gmd:onlineResource,115,100.0,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,115,100.0,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,115,100.0,1
gmd:CI_Contact/gmd:hoursOfService/gco:CharacterString,114,99.1,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,115,100.0,1
che:CHE_CI_ResponsibleParty/che:individualLastName/gco:CharacterString,114,99.1,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gco:CharacterString,115,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,115,100.0,1
