#-----Metadata-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_Metadata/gmd:fileIdentifier/gco:CharacterString,115,100.0,1
che:CHE_MD_Metadata/gmd:language/gmd:LanguageCode,115,100.0,1
che:CHE_MD_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode,115,100.0,1
che:CHE_MD_Metadata/gmd:parentIdentifier/gco:CharacterString,0,0.0,0
che:CHE_MD_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode,115,100.0,1
che:CHE_MD_Metadata/gmd:hierarchyLevelName/gco:CharacterString,72,62.6,1
che:CHE_MD_Metadata/gmd:dateStamp/gco:DateTime,115,100.0,1
che:CHE_MD_Metadata/gmd:metadataStandardName/gco:CharacterString,115,100.0,1
che:CHE_MD_Metadata/gmd:metadataStandardVersion/gco:CharacterString,5,4.3,1
che:CHE_MD_Metadata/gmd:dataSetURI/gco:CharacterString,11,9.6,1
che:CHE_MD_Metadata/gmd:contact,115,100.0,1
che:CHE_MD_Metadata/gmd:contentInfo,59,51.3,1
che:CHE_MD_Metadata/gmd:dataQualityInfo,109,94.8,1
che:CHE_MD_Metadata/gmd:distributionInfo,115,100.0,1
che:CHE_MD_Metadata/gmd:identificationInfo,115,100.0,1
che:CHE_MD_Metadata/che:legislationInformation,2,1.7,1
che:CHE_MD_Metadata/gmd:metadataMaintenance,95,82.6,1
che:CHE_MD_Metadata/gmd:portrayalCatalogueInfo,0,0.0,0
che:CHE_MD_Metadata/gmd:referenceSystemInfo,115,100.0,1
che:CHE_MD_Metadata/gmd:spatialRepresentationInfo,108,93.9,1

#-----DataIdentification-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_DataIdentification/gmd:status/gmd:MD_ProgressCode,111,96.5,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,111,96.5,1
che:CHE_MD_DataIdentification/gmd:citation,111,96.5,1
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,111,96.5,1
che:CHE_MD_DataIdentification/gmd:graphicOverview,111,96.5,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,110,95.7,1
che:CHE_MD_DataIdentification/gmd:purpose/gco:CharacterString,111,96.5,1
che:CHE_MD_DataIdentification/gmd:resourceConstraints,111,96.5,1
che:CHE_MD_DataIdentification/gmd:resourceFormat,66,57.4,1
che:CHE_MD_DataIdentification/gmd:resourceMaintenance,100,87.0,1
che:CHE_MD_DataIdentification/gmd:resourceSpecificUsage,3,2.6,1
che:CHE_MD_DataIdentification/che:revision,0,0.0,0
che:CHE_MD_DataIdentification/gmd:spatialRepresentationType/gmd:MD_SpatialRepresentationTypeCode,110,95.7,1
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,111,96.5,1
che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,111,96.5,1
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,111,96.5,1
che:CHE_MD_DataIdentification/che:basicGeodataID/gco:CharacterString,4,3.5,1
che:CHE_MD_DataIdentification/che:basicGeodataIDType/che:basicGeodataIDTypeCode,3,2.6,1
che:CHE_MD_DataIdentification/gmd:environmentDescription/gco:CharacterString,16,13.9,1
che:CHE_MD_DataIdentification/gmd:extent,111,96.5,1
che:CHE_MD_DataIdentification/gmd:spatialResolution,98,85.2,1
che:CHE_MD_DataIdentification/gmd:supplementalInformation/gco:CharacterString,7,6.1,1

gmd:MD_BrowseGraphic/gmd:fileName/gco:CharacterString,115,100.0,1
gmd:MD_BrowseGraphic/gmd:fileType/gco:CharacterString,0,0.0,0
gmd:MD_BrowseGraphic/gmd:fileDescription/gco:CharacterString,0,0.0,0

gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,115,100.0,1
gmd:MD_Keywords/gmd:keyword/gco:CharacterString,115,100.0,1

gmd:MD_RepresentativeFraction/gmd:denominator/gco:Integer,63,54.8,1

gmd:MD_Resolution/gmd:distance/gco:Distance,36,31.3,1
gmd:MD_Resolution/gmd:equivalentScale,63,54.8,1

gmd:MD_Usage/gmd:specificUsage/gco:CharacterString,1,0.9,1
gmd:MD_Usage/gmd:userContactInfo,1,0.9,1

#-----ServiceIdentification-----#
Attribute,Metadata_count,Metadata_%,Group_count
