Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,776,100.0,1
gmd:language/gmd:LanguageCode,776,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,776,100.0,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,776,100.0,1
gmd:hierarchyLevelName/gco:CharacterString,776,100.0,1
che:CHE_MD_Metadata/gmd:contact,776,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,776,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,776,100.0,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,776,100.0,1
gmd:CI_Contact/gmd:phone,776,100.0,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,776,100.0,1
che:CHE_CI_Telephone/che:directNumber/gco:CharacterString,773,99.6,1
gmd:CI_Contact/gmd:address,776,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,776,100.0,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,776,100.0,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,776,100.0,1
che:CHE_CI_Address/che:streetName/gco:CharacterString,776,100.0,1
che:CHE_CI_Address/che:streetNumber/gco:CharacterString,776,100.0,1
gmd:CI_Contact/gmd:onlineResource,776,100.0,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,776,100.0,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,776,100.0,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,776,100.0,1
che:CHE_CI_ResponsibleParty/che:individualFirstName/gco:CharacterString,773,99.6,1
che:CHE_CI_ResponsibleParty/che:individualLastName/gco:CharacterString,776,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gco:CharacterString,776,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,776,100.0,1
gmd:dateStamp/gco:DateTime,776,100.0,1
gmd:metadataStandardName/gco:CharacterString,776,100.0,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,776,100.0,1
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,776,100.0,1
che:CHE_MD_Metadata/gmd:identificationInfo,776,100.0,1
che:CHE_MD_DataIdentification/gmd:citation,776,100.0,1
gmd:CI_Citation/gmd:title/gco:CharacterString,776,100.0,1
gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,776,100.0,1
gmd:CI_Citation/gmd:date,776,100.0,1
gmd:CI_Date/gmd:date/gco:Date,776,100.0,1
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,776,100.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,747,96.3,1
che:CHE_MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,370,47.7,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,389,50.1,1
che:CHE_CI_Telephone/gmd:facsimile/gco:CharacterString,179,23.1,1
