Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,80,100.0,1
gmd:language/gmd:LanguageCode,80,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,80,100.0,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,80,100.0,1
che:CHE_MD_Metadata/gmd:contact,80,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,80,100.0,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,80,100.0,1
gmd:CI_Contact/gmd:phone,80,100.0,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,80,100.0,1
gmd:CI_Contact/gmd:address,80,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,80,100.0,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,80,100.0,1
che:CHE_CI_Address/gmd:country/gco:CharacterString,80,100.0,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,80,100.0,1
che:CHE_CI_Address/che:streetName/gco:CharacterString,80,100.0,1
che:CHE_CI_Address/che:streetNumber/gco:CharacterString,80,100.0,1
gmd:CI_Contact/gmd:onlineResource,80,100.0,1
gmd:CI_OnlineResource/gmd:linkage/gmd:URL,80,100.0,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,80,100.0,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,80,100.0,1
che:CHE_CI_ResponsibleParty/che:individualFirstName/gco:CharacterString,80,100.0,1
gmd:dateStamp/gco:DateTime,80,100.0,1
gmd:metadataStandardName/gco:CharacterString,80,100.0,1
che:CHE_MD_Metadata/gmd:referenceSystemInfo,29,36.2,1
gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,29,36.2,1
gmd:RS_Identifier/gmd:code/gmx:Anchor,26,32.5,1
che:CHE_MD_Metadata/gmd:identificationInfo,80,100.0,1
che:CHE_MD_DataIdentification/gmd:citation,80,100.0,1
gmd:CI_Citation/gmd:title/gco:CharacterString,80,100.0,1
gmd:CI_Citation/gmd:date,80,100.0,1
gmd:CI_Date/gmd:date/gco:Date,80,100.0,1
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,80,100.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,79,98.8,1
che:CHE_MD_DataIdentification/gmd:purpose/gco:CharacterString,79,98.8,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,78,97.5,1
che:CHE_MD_DataIdentification/gmd:resourceMaintenance,80,100.0,1
