Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,283,100.0,1
gmd:language/gmd:LanguageCode,283,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,283,100.0,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,283,100.0,1
che:CHE_MD_Metadata/gmd:contact,283,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,283,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,283,100.0,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gco:CharacterString,283,100.0,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,283,100.0,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,283,100.0,1
gmd:CI_Contact/gmd:phone,283,100.0,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,283,100.0,1
gmd:CI_Contact/gmd:address,283,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,283,100.0,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,283,100.0,1
che:CHE_CI_Address/gmd:country/gco:CharacterString,283,100.0,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,283,100.0,1
che:CHE_CI_Address/che:streetName/gco:CharacterString,283,100.0,1
che:CHE_CI_Address/che:streetNumber/gco:CharacterString,283,100.0,1
gmd:CI_Contact/gmd:onlineResource,283,100.0,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,283,100.0,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,283,100.0,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,283,100.0,1
che:CHE_CI_ResponsibleParty/che:individualFirstName/gco:CharacterString,283,100.0,1
che:CHE_CI_ResponsibleParty/che:individualLastName/gco:CharacterString,283,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gco:CharacterString,283,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,283,100.0,1
gmd:dateStamp/gco:DateTime,283,100.0,1
gmd:metadataStandardName/gco:CharacterString,282,99.6,1
gmd:metadataStandardVersion/gco:CharacterString,280,98.9,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,283,100.0,1
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,283,100.0,1
che:CHE_MD_Metadata/gmd:referenceSystemInfo,282,99.6,1
gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,282,99.6,1
gmd:RS_Identifier/gmd:code/gco:CharacterString,282,99.6,1
gmd:RS_Identifier/gmd:code/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,282,99.6,1
gmd:RS_Identifier/gmd:codeSpace/gco:CharacterString,281,99.3,1
che:CHE_MD_Metadata/gmd:identificationInfo,283,100.0,1
che:CHE_MD_DataIdentification/gmd:citation,283,100.0,1
gmd:CI_Citation/gmd:title/gco:CharacterString,283,100.0,1
gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,283,100.0,1
gmd:CI_Citation/gmd:date,283,100.0,1
gmd:CI_Date/gmd:date/gco:Date,282,99.6,1
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,283,100.0,1
gmd:CI_Citation/gmd:citedResponsibleParty,279,98.6,1
gmd:CI_Citation/gmd:collectiveTitle/gco:CharacterString,216,76.3,1
gmd:CI_Citation/gmd:collectiveTitle/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,216,76.3,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,271,95.8,1
che:CHE_MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,271,95.8,1
che:CHE_MD_DataIdentification/gmd:status/gmd:MD_ProgressCode,283,100.0,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,280,98.9,1
che:CHE_MD_DataIdentification/gmd:resourceMaintenance,280,98.9,1
che:CHE_MD_MaintenanceInformation/gmd:maintenanceAndUpdateFrequency/gmd:MD_MaintenanceFrequencyCode,280,98.9,1
che:CHE_MD_DataIdentification/gmd:graphicOverview,283,100.0,1
gmd:MD_BrowseGraphic/gmd:fileName/gco:CharacterString,283,100.0,1
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,281,99.3,1
gmd:MD_Keywords/gmd:keyword/gco:CharacterString,281,99.3,1
gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,281,99.3,1
gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,281,99.3,1
gmd:MD_Keywords/gmd:thesaurusName,281,99.3,1
gmd:CI_Citation/gmd:identifier,281,99.3,1
gmd:MD_Identifier/gmd:code/gmx:Anchor,281,99.3,1
che:CHE_MD_DataIdentification/gmd:resourceConstraints,283,100.0,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints/gco:CharacterString,283,100.0,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,283,100.0,1
che:CHE_MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation/gmd:aggregateDataSetIdentifier,130,45.9,1
gmd:MD_Identifier/gmd:code/gco:CharacterString,144,50.9,1
che:CHE_MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation/gmd:associationType/gmd:DS_AssociationTypeCode,131,46.3,1
che:CHE_MD_DataIdentification/gmd:spatialRepresentationType/gmd:MD_SpatialRepresentationTypeCode,258,91.2,1
che:CHE_MD_DataIdentification/gmd:spatialResolution,66,23.3,1
gmd:MD_Resolution/gmd:distance/gco:Distance,64,22.6,1
gmd:MD_Resolution/gmd:equivalentScale,33,11.7,1
gmd:MD_RepresentativeFraction/gmd:denominator/gco:Integer,33,11.7,1
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,283,100.0,1
che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,283,100.0,1
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,283,100.0,1
che:CHE_MD_DataIdentification/gmd:extent,283,100.0,1
gmd:EX_Extent/gmd:description/gco:CharacterString,283,100.0,1
gmd:EX_Extent/gmd:description/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,283,100.0,1
gmd:EX_Extent/gmd:geographicElement,283,100.0,1
gmd:EX_GeographicBoundingBox/gmd:westBoundLongitude/gco:Decimal,283,100.0,1
gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal,283,100.0,1
gmd:EX_GeographicBoundingBox/gmd:southBoundLatitude/gco:Decimal,283,100.0,1
gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal,283,100.0,1
gmd:EX_BoundingPolygon/gmd:polygon/gml:MultiSurface/gml:surfaceMember/gml:Polygon/gml:exterior/gml:LinearRing/gml:posList,283,100.0,1
che:CHE_MD_DataIdentification/che:geodataType/che:MD_geodataTypeCode,184,65.0,1
che:CHE_MD_Metadata/gmd:distributionInfo,283,100.0,1
gmd:MD_Distribution/gmd:distributionFormat,280,98.9,1
gmd:MD_Format/gmd:name/gco:CharacterString,281,99.3,1
gmd:MD_Format/gmd:version/gco:CharacterString,281,99.3,1
gmd:MD_Distribution/gmd:distributor,235,83.0,1
gmd:MD_Distributor/gmd:distributorContact,235,83.0,1
gmd:CI_OnlineResource/gmd:linkage/gmd:URL,283,100.0,1
gmd:CI_Contact/gmd:hoursOfService/gco:CharacterString,243,85.9,1
