#-----Metadata-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_Metadata/gmd:fileIdentifier/gco:CharacterString,364,100.0,1
che:CHE_MD_Metadata/gmd:language/gmd:LanguageCode,364,100.0,1
che:CHE_MD_Metadata/gmd:characterSet/gmd:MD_CharacterSetCode,364,100.0,1
che:CHE_MD_Metadata/gmd:parentIdentifier/gco:CharacterString,22,6.0,1
che:CHE_MD_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode,360,98.9,1
che:CHE_MD_Metadata/gmd:hierarchyLevelName/gco:CharacterString,43,11.8,1
che:CHE_MD_Metadata/gmd:dateStamp/gco:DateTime,364,100.0,1
che:CHE_MD_Metadata/gmd:metadataStandardName/gco:CharacterString,361,99.2,1
che:CHE_MD_Metadata/gmd:metadataStandardVersion/gco:CharacterString,6,1.6,1
che:CHE_MD_Metadata/gmd:dataSetURI/gco:CharacterString,26,7.1,1
che:CHE_MD_Metadata/gmd:contact,363,99.7,1
che:CHE_MD_Metadata/gmd:contentInfo,57,15.7,1
che:CHE_MD_Metadata/gmd:dataQualityInfo,186,51.1,1
che:CHE_MD_Metadata/gmd:distributionInfo,361,99.2,1
che:CHE_MD_Metadata/gmd:identificationInfo,364,100.0,1
che:CHE_MD_Metadata/che:legislationInformation,120,33.0,1
che:CHE_MD_Metadata/gmd:metadataMaintenance,60,16.5,1
che:CHE_MD_Metadata/gmd:portrayalCatalogueInfo,0,0.0,0
che:CHE_MD_Metadata/gmd:referenceSystemInfo,331,90.9,1
che:CHE_MD_Metadata/gmd:spatialRepresentationInfo,131,36.0,1

#-----DataIdentification-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_DataIdentification/gmd:status/gmd:MD_ProgressCode,168,46.2,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,358,98.4,1
che:CHE_MD_DataIdentification/gmd:citation,358,98.4,1
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,353,97.0,1
che:CHE_MD_DataIdentification/gmd:graphicOverview,181,49.7,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,352,96.7,1
che:CHE_MD_DataIdentification/gmd:purpose/gco:CharacterString,127,34.9,1
che:CHE_MD_DataIdentification/gmd:resourceConstraints,204,56.0,1
che:CHE_MD_DataIdentification/gmd:resourceFormat,53,14.6,1
che:CHE_MD_DataIdentification/gmd:resourceMaintenance,273,75.0,1
che:CHE_MD_DataIdentification/gmd:resourceSpecificUsage,1,0.3,1
che:CHE_MD_DataIdentification/che:revision,16,4.4,1
che:CHE_MD_DataIdentification/gmd:spatialRepresentationType/gmd:MD_SpatialRepresentationTypeCode,249,68.4,1
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,358,98.4,1
che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,354,97.3,1
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,355,97.5,1
che:CHE_MD_DataIdentification/che:basicGeodataID/gco:CharacterString,205,56.3,1
che:CHE_MD_DataIdentification/che:basicGeodataIDType/che:basicGeodataIDTypeCode,203,55.8,1
che:CHE_MD_DataIdentification/gmd:environmentDescription/gco:CharacterString,12,3.3,1
che:CHE_MD_DataIdentification/gmd:extent,357,98.1,1
che:CHE_MD_DataIdentification/gmd:spatialResolution,266,73.1,1
che:CHE_MD_DataIdentification/gmd:supplementalInformation/gco:CharacterString,52,14.3,1

gmd:MD_BrowseGraphic/gmd:fileName/gco:CharacterString,181,49.7,1
gmd:MD_BrowseGraphic/gmd:fileType/gco:CharacterString,25,6.9,1
gmd:MD_BrowseGraphic/gmd:fileDescription/gco:CharacterString,160,44.0,1

gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,359,98.6,1
gmd:MD_Keywords/gmd:keyword/gco:CharacterString,359,98.6,1

gmd:MD_RepresentativeFraction/gmd:denominator/gco:Integer,243,66.8,1

gmd:MD_Resolution/gmd:distance/gco:Distance,24,6.6,1
gmd:MD_Resolution/gmd:equivalentScale,243,66.8,1

gmd:MD_Usage/gmd:specificUsage/gco:CharacterString,1,0.3,1
gmd:MD_Usage/gmd:userContactInfo,1,0.3,1

#-----ServiceIdentification-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_SV_ServiceIdentification/gmd:status/gmd:MD_ProgressCode,0,0.0,0
che:CHE_SV_ServiceIdentification/gmd:abstract/gco:CharacterString,6,1.6,1
che:CHE_SV_ServiceIdentification/gmd:citation,6,1.6,1
che:CHE_SV_ServiceIdentification/gmd:descriptiveKeywords,6,1.6,1
che:CHE_SV_ServiceIdentification/gmd:graphicOverview,0,0.0,0
che:CHE_SV_ServiceIdentification/gmd:pointOfContact,6,1.6,1
che:CHE_SV_ServiceIdentification/gmd:purpose/gco:CharacterString,1,0.3,1
che:CHE_SV_ServiceIdentification/gmd:resourceConstraints,3,0.8,1
che:CHE_SV_ServiceIdentification/gmd:resourceFormat,3,0.8,1
che:CHE_SV_ServiceIdentification/gmd:resourceMaintenance,1,0.3,1
che:CHE_SV_ServiceIdentification/gmd:resourceSpecificUsage,0,0.0,0
che:CHE_SV_ServiceIdentification/che:revision,0,0.0,0
che:CHE_SV_ServiceIdentification/che:inspireServiceType/che:CHE_SV_inspireServiceTypeCode,0,0.0,0
che:CHE_SV_ServiceIdentification/srv:serviceTypeVersion/gco:CharacterString,4,1.1,1
che:CHE_SV_ServiceIdentification/srv:couplingType/srv:SV_CouplingType,6,1.6,1
che:CHE_SV_ServiceIdentification/srv:operatesOn,5,1.4,1
che:CHE_SV_ServiceIdentification/srv:serviceType/gco:LocalName,6,1.6,1
che:CHE_SV_ServiceIdentification/srv:accessProperties,4,1.1,1
che:CHE_SV_ServiceIdentification/srv:extent,5,1.4,1
che:CHE_SV_ServiceIdentification/srv:coupledResource,5,1.4,1
che:CHE_SV_ServiceIdentification/srv:containsOperations,6,1.6,1

srv:SV_OperationMetadata/srv:operationName/gco:CharacterString,6,1.6,1
srv:SV_OperationMetadata/srv:operationDescription/gco:CharacterString,0,0.0,0
srv:SV_OperationMetadata/srv:DCP/srv:DCPList,6,1.6,1
srv:SV_OperationMetadata/srv:connectPoint,6,1.6,1

srv:SV_CoupledResource/srv:identifier/gco:CharacterString,5,1.4,1
srv:SV_CoupledResource/srv:operationName/gco:CharacterString,5,1.4,1
srv:SV_CoupledResource/gco:ScopedName,4,1.1,1

gml:CodeType/code,0,0.0,0
gml:CodeType/codeSpace,0,0.0,0

#-----Constraints Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:MD_Constraints/gmd:useLimitation/gco:CharacterString,9,2.5,1

che:CHE_MD_LegalConstraints/gmd:accessConstraints/gmd:MD_RestrictionCode,5,1.4,1
che:CHE_MD_LegalConstraints/gmd:useConstraints/gmd:MD_RestrictionCode,130,35.7,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints,163,44.8,1

gmd:MD_SecurityConstraints/gmd:classification/gmd:MD_ClassificationCode,0,0.0,0

#-----Data Quality Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:DQ_DataQuality/gmd:scope,186,51.1,1
gmd:DQ_DataQuality/gmd:report,4,1.1,1
gmd:DQ_DataQuality/gmd:lineage,185,50.8,1

gmd:LI_Lineage/gmd:statement/gco:CharacterString,185,50.8,1
gmd:LI_Lineage/gmd:processStep,0,0.0,0
gmd:LI_Lineage/gmd:source,1,0.3,1

gmd:LI_ProcessStep/gmd:description/gco:CharacterString,0,0.0,0
gmd:LI_ProcessStep/gmd:dateTime,0,0.0,0

gmd:LI_Source/gmd:description/gco:CharacterString,1,0.3,1

gmd:DQ_Scope/gmd:level/gmd:MD_ScopeCode,186,51.1,1
gmd:DQ_Scope/gmd:levelDescription,14,3.8,1

gmd:MD_ScopeDescription/gmd:other/gco:CharacterString,1,0.3,1

gmd:DQ_DomainConsistency/gmd:result,4,1.1,1

gmd:DQ_ConformanceResult/gmd:specification,4,1.1,1
gmd:DQ_ConformanceResult/gmd:explanation/gco:CharacterString,4,1.1,1
gmd:DQ_ConformanceResult/gmd:pass/gco:Boolean,4,1.1,1

#-----Maintenance Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_MaintenanceInformation/gmd:maintenanceAndUpdateFrequency/gmd:MD_MaintenanceFrequencyCode,275,75.5,1
che:CHE_MD_MaintenanceInformation/gmd:dateOfNextUpdate/gco:DateTime,0,0.0,0
che:CHE_MD_MaintenanceInformation/gmd:userDefinedMaintenanceFrequency/gts:TM_PeriodDuration,21,5.8,1
che:CHE_MD_MaintenanceInformation/gmd:updateScope/gmd:MD_ScopeCode,30,8.2,1
che:CHE_MD_MaintenanceInformation/che:dateOfMonitoringState/gco:Date,0,0.0,0
che:CHE_MD_MaintenanceInformation/gmd:maintenanceNote/gco:CharacterString,63,17.3,1
che:CHE_MD_MaintenanceInformation/che:archiveConcept,0,0.0,0
che:CHE_MD_MaintenanceInformation/che:historyConcept,0,0.0,0

che:CHE_MD_ArchiveConcept/che:archiveConceptCitation,0,0.0,0
che:CHE_MD_ArchiveConcept/che:archiveConceptURL/che:LocalisedURL,0,0.0,0

che:CHE_MD_HistoryConcept/che:historyConceptCitation,0,0.0,0
che:CHE_MD_HistoryConcept/che:historyConceptURL/che:LocalisedURL,0,0.0,0

#-----Spatial Representation Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:MD_GridSpatialRepresentation/gmd:numberOfDimensions/gco:Integer,20,5.5,1
gmd:MD_GridSpatialRepresentation/gmd:axisDimensionProperties,5,1.4,1
gmd:MD_GridSpatialRepresentation/gmd:cellGeometry/gmd:MD_CellGeometryCode,20,5.5,1
gmd:MD_GridSpatialRepresentation/gmd:transformationParameterAvailability/gco:Boolean,20,5.5,1

gmd:MD_VectorSpatialRepresentation/gmd:topologyLevel/gmd:MD_TopologyLevelCode,40,11.0,1
gmd:MD_VectorSpatialRepresentation/gmd:geometricObjects,106,29.1,1

gmd:MD_Dimension/gmd:dimensionName/gmd:MD_DimensionNameTypeCode,4,1.1,1
gmd:MD_Dimension/gmd:dimensionSize/gco:Integer,4,1.1,1
gmd:MD_Dimension/gmd:resolution,4,1.1,1

gmd:MD_GeometricObjects/gmd:geometricObjectType/gmd:MD_GeometricObjectTypeCode,106,29.1,1
gmd:MD_GeometricObjects/gmd:geometricObjectCount/gco:Integer,38,10.4,1

#-----Reference System Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,331,90.9,1

#-----Content Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_FeatureCatalogueDescription/gmd:complianceCode/gco:Boolean,19,5.2,1
che:CHE_MD_FeatureCatalogueDescription/gmd:language/gmd:LanguageCode,21,5.8,1
che:CHE_MD_FeatureCatalogueDescription/gmd:includedWithDataset/gco:Boolean,51,14.0,1
che:CHE_MD_FeatureCatalogueDescription/gmd:featureTypes/gco:ScopedName,0,0.0,0
che:CHE_MD_FeatureCatalogueDescription/gmd:featureCatalogueCitation,51,14.0,1
che:CHE_MD_FeatureCatalogueDescription/che:dataModel,16,4.4,1
che:CHE_MD_FeatureCatalogueDescription/che:class,0,0.0,0
che:CHE_MD_FeatureCatalogueDescription/che:modelType/che:CHE_MD_modelTypeCode,51,14.0,1

che:CHE_MD_CoverageDescription/gmd:attributeDescription/gco:RecordType,6,1.6,1
che:CHE_MD_CoverageDescription/gmd:contentType/gmd:MD_CoverageContentTypeCode,6,1.6,1

che:attribute/che:name/gco:CharacterString,0,0.0,0
che:attribute/che:description/gco:CharacterString,0,0.0,0

che:CHE_MD_Class/che:name/gco:CharacterString,0,0.0,0
che:CHE_MD_Class/che:description/gco:CharacterString,0,0.0,0

#-----Portrayal catalogue information-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_PortrayalCatalogueReference/gmd:portrayalCatalogueCitation,0,0.0,0
che:CHE_MD_PortrayalCatalogueReference/che:portrayalCatalogueURL/gmd:URL,0,0.0,0

#-----Distribution Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:MD_Distribution/gmd:distributionFormat,343,94.2,1
gmd:MD_Distribution/gmd:distributor,40,11.0,1
gmd:MD_Distribution/gmd:transferOptions,359,98.6,1

gmd:MD_DigitalTransferOptions/gmd:unitsOfDistribution/gco:CharacterString,8,2.2,1
gmd:MD_DigitalTransferOptions/gmd:onLine,352,96.7,1
gmd:MD_DigitalTransferOptions/gmd:offLine,1,0.3,1

gmd:MD_Distributor/gmd:distributorContact,39,10.7,1
gmd:MD_Distributor/gmd:distributionOrderProcess,0,0.0,0

gmd:MD_Format/gmd:name/gco:CharacterString,363,99.7,1
gmd:MD_Format/gmd:version/gco:CharacterString,363,99.7,1

gmd:MD_Medium/gmd:name/gmd:MD_MediumNameCode,1,0.3,1

gmd:MD_StandardOrderProcess/gmd:fees/gco:CharacterString,3,0.8,1

gmd:CI_OnlineResource/gmd:linkage/gmd:URL,355,97.5,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,364,100.0,1
gmd:CI_OnlineResource/gmd:name/gco:CharacterString,279,76.6,1
gmd:CI_OnlineResource/gmd:description/gco:CharacterString,327,89.8,1
gmd:CI_OnlineResource/gmd:function/gmd:CI_OnLineFunctionCode,229,62.9,1

