Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,42,100.0,1
gmd:language/gmd:LanguageCode,42,100.0,1
che:CHE_MD_Metadata/gmd:contact,42,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,42,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,41,97.6,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gco:CharacterString,42,100.0,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,41,97.6,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,42,100.0,1
gmd:CI_Contact/gmd:phone,42,100.0,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,42,100.0,1
gmd:CI_Contact/gmd:address,42,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,42,100.0,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,42,100.0,1
che:CHE_CI_Address/gmd:country/gco:CharacterString,42,100.0,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,42,100.0,1
che:CHE_CI_Address/che:streetName/gco:CharacterString,42,100.0,1
che:CHE_CI_Address/che:streetNumber/gco:CharacterString,42,100.0,1
gmd:CI_Contact/gmd:onlineResource,42,100.0,1
gmd:CI_OnlineResource/gmd:linkage/gmd:URL,42,100.0,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,41,97.6,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,42,100.0,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,42,100.0,1
gmd:dateStamp/gco:DateTime,42,100.0,1
gmd:metadataStandardName/gco:CharacterString,22,52.4,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,41,97.6,1
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,41,97.6,1
che:CHE_MD_Metadata/gmd:referenceSystemInfo,36,85.7,1
gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,36,85.7,1
gmd:RS_Identifier/gmd:code/gco:CharacterString,36,85.7,1
gmd:RS_Identifier/gmd:code/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,35,83.3,1
che:CHE_MD_Metadata/gmd:identificationInfo,42,100.0,1
che:CHE_MD_DataIdentification/gmd:citation,42,100.0,1
gmd:CI_Citation/gmd:title/gco:CharacterString,42,100.0,1
gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,41,97.6,1
gmd:CI_Citation/gmd:alternateTitle/gco:CharacterString,37,88.1,1
gmd:CI_Citation/gmd:alternateTitle/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,37,88.1,1
gmd:CI_Citation/gmd:date,42,100.0,1
gmd:CI_Date/gmd:date/gco:Date,42,100.0,1
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,42,100.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,39,92.9,1
che:CHE_MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,39,92.9,1
che:CHE_MD_DataIdentification/gmd:credit/gco:CharacterString,30,71.4,1
che:CHE_MD_DataIdentification/gmd:credit/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,29,69.0,1
che:CHE_MD_DataIdentification/gmd:status/gmd:MD_ProgressCode,18,42.9,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,41,97.6,1
che:CHE_MD_DataIdentification/gmd:graphicOverview,41,97.6,1
gmd:MD_BrowseGraphic/gmd:fileName/gco:CharacterString,41,97.6,1
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,41,97.6,1
gmd:MD_Keywords/gmd:keyword/gco:CharacterString,41,97.6,1
gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,40,95.2,1
gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,41,97.6,1
gmd:MD_Keywords/gmd:thesaurusName,41,97.6,1
gmd:CI_Citation/gmd:identifier,41,97.6,1
gmd:MD_Identifier/gmd:code/gmx:Anchor,41,97.6,1
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,42,100.0,1
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,42,100.0,1
che:CHE_MD_DataIdentification/gmd:extent,42,100.0,1
gmd:EX_Extent/gmd:description/gco:CharacterString,42,100.0,1
gmd:EX_Extent/gmd:description/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,41,97.6,1
gmd:EX_Extent/gmd:geographicElement,42,100.0,1
gmd:EX_GeographicBoundingBox/gmd:westBoundLongitude/gco:Decimal,42,100.0,1
gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal,42,100.0,1
gmd:EX_GeographicBoundingBox/gmd:southBoundLatitude/gco:Decimal,42,100.0,1
gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal,42,100.0,1
gmd:EX_BoundingPolygon/gmd:polygon/gml:MultiSurface/gml:surfaceMember/gml:Polygon/gml:exterior/gml:LinearRing/gml:posList,42,100.0,1
che:CHE_MD_Metadata/gmd:distributionInfo,40,95.2,1
gmd:MD_Distribution/gmd:distributionFormat,40,95.2,1
gmd:MD_Format/gmd:name/gco:CharacterString,40,95.2,1
