Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,350,99.2,1
gmd:language/gmd:LanguageCode,350,99.2,1
gmd:characterSet/gmd:MD_CharacterSetCode,350,99.2,1
gmd:parentIdentifier/gco:CharacterString,181,51.3,1
gmd:parentIdentifier/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,181,51.3,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,349,98.9,1
che:CHE_MD_Metadata/gmd:contact,350,99.2,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,350,99.2,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,350,99.2,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,350,99.2,1
gmd:CI_Contact/gmd:phone,350,99.2,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,350,99.2,1
gmd:CI_Contact/gmd:address,350,99.2,1
che:CHE_CI_Address/gmd:deliveryPoint/gco:CharacterString,350,99.2,1
che:CHE_CI_Address/gmd:deliveryPoint/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,350,99.2,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,350,99.2,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,350,99.2,1
che:CHE_CI_Address/gmd:country/gco:CharacterString,350,99.2,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,350,99.2,1
gmd:CI_Contact/gmd:onlineResource,350,99.2,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,350,99.2,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,350,99.2,1
che:CHE_CI_ResponsibleParty/che:individualLastName/gco:CharacterString,350,99.2,1
gmd:dateStamp/gco:DateTime,350,99.2,1
gmd:metadataStandardName/gco:CharacterString,289,81.9,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,350,99.2,1
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,350,99.2,1
che:CHE_MD_Metadata/gmd:identificationInfo,350,99.2,1
che:CHE_MD_DataIdentification/gmd:citation,350,99.2,1
gmd:CI_Citation/gmd:title/gco:CharacterString,350,99.2,1
gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,350,99.2,1
gmd:CI_Citation/gmd:date,350,99.2,1
gmd:CI_Date/gmd:date/gco:Date,350,99.2,1
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,350,99.2,1
gmd:CI_Date/gmd:date/gco:DateTime,234,66.3,1
gmd:CI_Citation/gmd:identifier,346,98.0,1
gmd:MD_Identifier/gmd:code/gco:CharacterString,271,76.8,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,340,96.3,1
che:CHE_MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,340,96.3,1
che:CHE_MD_DataIdentification/gmd:status/gmd:MD_ProgressCode,281,79.6,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,316,89.5,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,350,99.2,1
gmd:CI_Contact/gmd:hoursOfService/gco:CharacterString,216,61.2,1
che:CHE_MD_DataIdentification/gmd:graphicOverview,315,89.2,1
gmd:MD_BrowseGraphic/gmd:fileName/gco:CharacterString,315,89.2,1
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,330,93.5,1
gmd:MD_Keywords/gmd:keyword/gco:CharacterString,329,93.2,1
gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,329,93.2,1
gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,330,93.5,1
gmd:MD_Keywords/gmd:thesaurusName,330,93.5,1
gmd:MD_Identifier/gmd:code/gmx:Anchor,330,93.5,1
che:CHE_MD_DataIdentification/gmd:resourceConstraints,302,85.6,1
che:CHE_MD_LegalConstraints/gmd:accessConstraints/gmd:MD_RestrictionCode,300,85.0,1
che:CHE_MD_LegalConstraints/gmd:useConstraints/gmd:MD_RestrictionCode,300,85.0,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints/gco:CharacterString,302,85.6,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,302,85.6,1
che:CHE_MD_DataIdentification/gmd:spatialRepresentationType/gmd:MD_SpatialRepresentationTypeCode,349,98.9,1
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,350,99.2,1
che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,350,99.2,1
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,350,99.2,1
che:CHE_MD_DataIdentification/gmd:extent,350,99.2,1
gmd:EX_Extent/gmd:description/gco:CharacterString,350,99.2,1
gmd:EX_Extent/gmd:description/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,350,99.2,1
