Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,203,100.0,1
gmd:language/gmd:LanguageCode,203,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,203,100.0,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,203,100.0,1
che:CHE_MD_Metadata/gmd:contact,203,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,203,100.0,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,203,100.0,1
gmd:CI_Contact/gmd:phone,203,100.0,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,203,100.0,1
gmd:CI_Contact/gmd:address,203,100.0,1
che:CHE_CI_Address/gmd:deliveryPoint/gco:CharacterString,203,100.0,1
che:CHE_CI_Address/gmd:administrativeArea/gco:CharacterString,203,100.0,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,203,100.0,1
che:CHE_CI_Address/gmd:country/gco:CharacterString,203,100.0,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,203,100.0,1
gmd:CI_Contact/gmd:onlineResource,203,100.0,1
gmd:CI_OnlineResource/gmd:linkage/gmd:URL,203,100.0,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,203,100.0,1
gmd:CI_OnlineResource/gmd:function/gmd:CI_OnLineFunctionCode,203,100.0,1
gmd:CI_Contact/gmd:contactInstructions/gco:CharacterString,203,100.0,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,203,100.0,1
gmd:dateStamp/gco:DateTime,203,100.0,1
gmd:metadataStandardName/gco:CharacterString,203,100.0,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,203,100.0,1
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,203,100.0,1
che:CHE_MD_Metadata/gmd:spatialRepresentationInfo,201,99.0,1
gmd:MD_VectorSpatialRepresentation/gmd:topologyLevel/gmd:MD_TopologyLevelCode,201,99.0,1
gmd:MD_VectorSpatialRepresentation/gmd:geometricObjects,201,99.0,1
gmd:MD_GeometricObjects/gmd:geometricObjectType/gmd:MD_GeometricObjectTypeCode,201,99.0,1
che:CHE_MD_Metadata/gmd:referenceSystemInfo,203,100.0,1
gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,203,100.0,1
gmd:RS_Identifier/gmd:code/gco:CharacterString,203,100.0,1
gmd:RS_Identifier/gmd:codeSpace/gco:CharacterString,203,100.0,1
che:CHE_MD_Metadata/gmd:identificationInfo,203,100.0,1
che:CHE_MD_DataIdentification/gmd:citation,203,100.0,1
gmd:CI_Citation/gmd:title/gco:CharacterString,203,100.0,1
gmd:CI_Citation/gmd:date,203,100.0,1
gmd:CI_Date/gmd:date/gco:Date,203,100.0,1
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,203,100.0,1
gmd:CI_Citation/gmd:collectiveTitle/gco:CharacterString,52,25.6,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,185,91.1,1
che:CHE_MD_DataIdentification/gmd:status/gmd:MD_ProgressCode,203,100.0,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,203,100.0,1
che:CHE_MD_DataIdentification/gmd:resourceMaintenance,203,100.0,1
che:CHE_MD_MaintenanceInformation/gmd:maintenanceAndUpdateFrequency/gmd:MD_MaintenanceFrequencyCode,203,100.0,1
che:CHE_MD_DataIdentification/gmd:graphicOverview,203,100.0,1
gmd:MD_BrowseGraphic/gmd:fileName/gco:CharacterString,203,100.0,1
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,154,75.9,1
gmd:MD_Keywords/gmd:keyword/gco:CharacterString,154,75.9,1
gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,154,75.9,1
gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,154,75.9,1
gmd:MD_Keywords/gmd:thesaurusName,154,75.9,1
gmd:CI_Citation/gmd:identifier,154,75.9,1
gmd:MD_Identifier/gmd:code/gmx:Anchor,154,75.9,1
che:CHE_MD_DataIdentification/gmd:resourceConstraints,203,100.0,1
che:CHE_MD_LegalConstraints/gmd:useConstraints/gmd:MD_RestrictionCode,203,100.0,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints/gmx:Anchor,203,100.0,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,203,100.0,1
che:CHE_MD_DataIdentification/gmd:spatialRepresentationType/gmd:MD_SpatialRepresentationTypeCode,203,100.0,1
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,203,100.0,1
che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,203,100.0,1
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,203,100.0,1
che:CHE_MD_DataIdentification/gmd:extent,203,100.0,1
gmd:EX_Extent/gmd:description/gco:CharacterString,203,100.0,1
gmd:EX_Extent/gmd:geographicElement,203,100.0,1
gmd:EX_GeographicBoundingBox/gmd:westBoundLongitude/gco:Decimal,203,100.0,1
gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal,203,100.0,1
gmd:EX_GeographicBoundingBox/gmd:southBoundLatitude/gco:Decimal,203,100.0,1
gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal,203,100.0,1
gmd:EX_BoundingPolygon/gmd:polygon/gml:MultiSurface/gml:surfaceMember/gml:Polygon/gml:exterior/gml:LinearRing/gml:posList,203,100.0,1
che:CHE_MD_DataIdentification/che:basicGeodataID/gco:CharacterString,84,41.4,1
che:CHE_MD_DataIdentification/che:basicGeodataIDType/che:basicGeodataIDTypeCode,84,41.4,1
che:CHE_MD_Metadata/gmd:distributionInfo,203,100.0,1
gmd:MD_Distribution/gmd:distributionFormat,68,33.5,1
gmd:MD_Format/gmd:name/gco:CharacterString,68,33.5,1
gmd:MD_Format/gmd:version/gco:CharacterString,68,33.5,1
gmd:MD_Distribution/gmd:distributor,203,100.0,1
gmd:MD_Distributor/gmd:distributorContact,203,100.0,1
gmd:MD_Distribution/gmd:transferOptions,203,100.0,1
gmd:MD_DigitalTransferOptions/gmd:onLine,203,100.0,1
gmd:CI_OnlineResource/gmd:name/gco:CharacterString,203,100.0,1
gmd:CI_OnlineResource/gmd:description/gco:CharacterString,203,100.0,1
che:CHE_MD_Metadata/gmd:metadataMaintenance,203,100.0,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gco:CharacterString,108,53.2,1
