Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,29,100.0,1
gmd:language/gmd:LanguageCode,29,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,29,100.0,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,20,69.0,1
che:CHE_MD_Metadata/gmd:contact,29,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,29,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,29,100.0,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,29,100.0,1
gmd:CI_Contact/gmd:phone,29,100.0,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,29,100.0,1
gmd:CI_Contact/gmd:address,29,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,29,100.0,1
che:CHE_CI_Address/gmd:administrativeArea/gco:CharacterString,29,100.0,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,29,100.0,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,29,100.0,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,29,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gco:CharacterString,29,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,29,100.0,1
gmd:dateStamp/gco:DateTime,29,100.0,1
gmd:metadataStandardName/gco:CharacterString,29,100.0,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,29,100.0,1
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,29,100.0,1
che:CHE_MD_Metadata/gmd:spatialRepresentationInfo,23,79.3,1
gmd:MD_VectorSpatialRepresentation/gmd:geometricObjects,23,79.3,1
gmd:MD_GeometricObjects/gmd:geometricObjectType/gmd:MD_GeometricObjectTypeCode,23,79.3,1
che:CHE_MD_Metadata/gmd:referenceSystemInfo,29,100.0,1
gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,29,100.0,1
gmd:RS_Identifier/gmd:code/gco:CharacterString,29,100.0,1
gmd:RS_Identifier/gmd:code/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,29,100.0,1
che:CHE_MD_Metadata/gmd:identificationInfo,29,100.0,1
che:CHE_MD_DataIdentification/gmd:citation,29,100.0,1
gmd:CI_Citation/gmd:title/gco:CharacterString,29,100.0,1
gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,29,100.0,1
gmd:CI_Citation/gmd:alternateTitle/gco:CharacterString,29,100.0,1
gmd:CI_Citation/gmd:alternateTitle/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,29,100.0,1
gmd:CI_Citation/gmd:date,29,100.0,1
gmd:CI_Date/gmd:date/gco:Date,29,100.0,1
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,29,100.0,1
gmd:CI_Citation/gmd:identifier,29,100.0,1
gmd:MD_Identifier/gmd:code/gco:CharacterString,29,100.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,29,100.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,29,100.0,1
che:CHE_MD_DataIdentification/gmd:purpose/gco:CharacterString,4,13.8,1
che:CHE_MD_DataIdentification/gmd:purpose/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,4,13.8,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,29,100.0,1
che:CHE_CI_Address/gmd:country/gco:CharacterString,29,100.0,1
che:CHE_CI_Address/che:streetName/gco:CharacterString,29,100.0,1
che:CHE_CI_Address/che:streetNumber/gco:CharacterString,29,100.0,1
gmd:CI_Contact/gmd:onlineResource,29,100.0,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,29,100.0,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,29,100.0,1
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,29,100.0,1
gmd:MD_Keywords/gmd:keyword/gco:CharacterString,29,100.0,1
gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,29,100.0,1
gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,29,100.0,1
gmd:MD_Keywords/gmd:thesaurusName,29,100.0,1
gmd:MD_Identifier/gmd:code/gmx:Anchor,29,100.0,1
che:CHE_MD_DataIdentification/gmd:resourceConstraints,20,69.0,1
che:CHE_MD_LegalConstraints/gmd:useConstraints/gmd:MD_RestrictionCode,20,69.0,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints/gmx:Anchor,17,58.6,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,20,69.0,1
che:CHE_MD_DataIdentification/gmd:spatialResolution,24,82.8,1
gmd:MD_Resolution/gmd:equivalentScale,24,82.8,1
gmd:MD_RepresentativeFraction/gmd:denominator/gco:Integer,24,82.8,1
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,29,100.0,1
che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,29,100.0,1
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,29,100.0,1
che:CHE_MD_DataIdentification/gmd:extent,29,100.0,1
gmd:EX_Extent/gmd:description/gco:CharacterString,29,100.0,1
gmd:EX_Extent/gmd:description/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,29,100.0,1
gmd:EX_Extent/gmd:geographicElement,29,100.0,1
gmd:EX_GeographicBoundingBox/gmd:westBoundLongitude/gco:Decimal,29,100.0,1
gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal,29,100.0,1
gmd:EX_GeographicBoundingBox/gmd:southBoundLatitude/gco:Decimal,29,100.0,1
gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal,29,100.0,1
gmd:EX_BoundingPolygon/gmd:polygon/gml:MultiSurface/gml:surfaceMember/gml:Polygon/gml:exterior/gml:LinearRing/gml:posList,29,100.0,1
che:CHE_MD_Metadata/gmd:distributionInfo,29,100.0,1
gmd:MD_Distribution/gmd:distributionFormat,29,100.0,1
gmd:MD_Format/gmd:name/gco:CharacterString,29,100.0,1
gmd:MD_Format/gmd:version/gco:CharacterString,29,100.0,1
gmd:MD_Distribution/gmd:transferOptions,29,100.0,1
gmd:MD_DigitalTransferOptions/gmd:onLine,29,100.0,1
gmd:CI_OnlineResource/gmd:linkage/gmd:URL,29,100.0,1
gmd:CI_OnlineResource/gmd:description/gco:CharacterString,29,100.0,1
gmd:CI_OnlineResource/gmd:description/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,29,100.0,1
gmd:CI_OnlineResource/gmd:function/gmd:CI_OnLineFunctionCode,29,100.0,1
gmd:CI_OnlineResource/gmd:name/gco:CharacterString,27,93.1,1
gmd:CI_OnlineResource/gmd:name/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,27,93.1,1
che:CHE_MD_Metadata/che:legislationInformation,29,100.0,1
che:CHE_MD_Legislation/che:country/gmd:Country,29,100.0,1
che:CHE_MD_Legislation/che:language/gmd:LanguageCode,26,89.7,1
che:CHE_MD_Legislation/che:legislationType/che:CHE_CI_LegislationCode,29,100.0,1
che:CHE_MD_Legislation/che:internalReference/gco:CharacterString,27,93.1,1
che:CHE_MD_Legislation/che:internalReference/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,27,93.1,1
che:CHE_MD_Legislation/che:title,29,100.0,1
gmd:CI_Citation/gmd:series/gmd:CI_Series/gmd:name/gco:CharacterString,16,55.2,1
gmd:CI_Citation/gmd:series/gmd:CI_Series/gmd:name/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,16,55.2,1
gmd:CI_Citation/gmd:otherCitationDetails/gco:CharacterString,15,51.7,1
gmd:CI_Citation/gmd:otherCitationDetails/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,15,51.7,1
gmd:RS_Identifier/gmd:codeSpace/gco:CharacterString,20,69.0,1
gmd:RS_Identifier/gmd:version/gco:CharacterString,20,69.0,1
gmd:CI_Citation/gmd:collectiveTitle/gco:CharacterString,25,86.2,1
