Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,9,100.0,1
gmd:language/gmd:LanguageCode,9,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,9,100.0,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,9,100.0,1
che:CHE_MD_Metadata/gmd:contact,9,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,9,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,9,100.0,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,9,100.0,1
gmd:CI_Contact/gmd:phone,8,88.9,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,8,88.9,1
gmd:CI_Contact/gmd:address,9,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,9,100.0,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,9,100.0,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,9,100.0,1
che:CHE_CI_Address/che:streetName/gco:CharacterString,9,100.0,1
che:CHE_CI_Address/che:streetNumber/gco:CharacterString,9,100.0,1
gmd:CI_Contact/gmd:onlineResource,9,100.0,1
gmd:CI_OnlineResource/gmd:linkage/gmd:URL,9,100.0,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,9,100.0,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,9,100.0,1
che:CHE_CI_ResponsibleParty/che:individualFirstName/gco:CharacterString,9,100.0,1
che:CHE_CI_ResponsibleParty/che:individualLastName/gco:CharacterString,9,100.0,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gco:CharacterString,8,88.9,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,8,88.9,1
gmd:dateStamp/gco:DateTime,9,100.0,1
gmd:metadataStandardName/gco:CharacterString,9,100.0,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,9,100.0,1
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,9,100.0,1
che:CHE_MD_Metadata/gmd:referenceSystemInfo,6,66.7,1
gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,6,66.7,1
gmd:RS_Identifier/gmd:code/gco:CharacterString,6,66.7,1
