Attribute,Metadata_count,Metadata_%,Group_count
gmd:fileIdentifier/gco:CharacterString,607,100.0,1
gmd:language/gmd:LanguageCode,607,100.0,1
gmd:characterSet/gmd:MD_CharacterSetCode,562,92.6,1
gmd:hierarchyLevel/gmd:MD_ScopeCode,572,94.2,1
che:CHE_MD_Metadata/gmd:contact,607,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gco:CharacterString,607,100.0,1
che:CHE_CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,598,98.5,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gco:CharacterString,505,83.2,1
che:CHE_CI_ResponsibleParty/gmd:positionName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,501,82.5,1
che:CHE_CI_ResponsibleParty/gmd:contactInfo,607,100.0,1
gmd:CI_Contact/gmd:phone,604,99.5,1
che:CHE_CI_Telephone/gmd:voice/gco:CharacterString,350,57.7,1
che:CHE_CI_Telephone/che:directNumber/gco:CharacterString,354,58.3,1
gmd:CI_Contact/gmd:address,607,100.0,1
che:CHE_CI_Address/gmd:city/gco:CharacterString,607,100.0,1
che:CHE_CI_Address/gmd:postalCode/gco:CharacterString,582,95.9,1
che:CHE_CI_Address/gmd:electronicMailAddress/gco:CharacterString,607,100.0,1
che:CHE_CI_Address/che:streetName/gco:CharacterString,605,99.7,1
che:CHE_CI_Address/che:streetNumber/gco:CharacterString,604,99.5,1
gmd:CI_Contact/gmd:onlineResource,577,95.1,1
gmd:CI_OnlineResource/gmd:linkage/che:PT_FreeURL/che:URLGroup/che:LocalisedURL,577,95.1,1
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,563,92.8,1
che:CHE_CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode,607,100.0,1
che:CHE_CI_ResponsibleParty/che:individualFirstName/gco:CharacterString,606,99.8,1
che:CHE_CI_ResponsibleParty/che:individualLastName/gco:CharacterString,606,99.8,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gco:CharacterString,604,99.5,1
che:CHE_CI_ResponsibleParty/che:organisationAcronym/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,597,98.4,1
gmd:dateStamp/gco:DateTime,607,100.0,1
gmd:metadataStandardName/gco:CharacterString,537,88.5,1
gmd:locale/gmd:PT_Locale/gmd:languageCode/gmd:LanguageCode,598,98.5,1
gmd:locale/gmd:PT_Locale/gmd:characterEncoding/gmd:MD_CharacterSetCode,598,98.5,1
che:CHE_MD_Metadata/gmd:spatialRepresentationInfo,219,36.1,1
gmd:MD_VectorSpatialRepresentation/gmd:geometricObjects,219,36.1,1
gmd:MD_GeometricObjects/gmd:geometricObjectType/gmd:MD_GeometricObjectTypeCode,219,36.1,1
gmd:MD_GeometricObjects/gmd:geometricObjectCount/gco:Integer,192,31.6,1
che:CHE_MD_Metadata/gmd:referenceSystemInfo,587,96.7,1
gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,587,96.7,1
gmd:RS_Identifier/gmd:code/gco:CharacterString,585,96.4,1
gmd:RS_Identifier/gmd:code/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,586,96.5,1
che:CHE_MD_Metadata/gmd:identificationInfo,607,100.0,1
che:CHE_MD_DataIdentification/gmd:citation,607,100.0,1
gmd:CI_Citation/gmd:title/gco:CharacterString,607,100.0,1
gmd:CI_Citation/gmd:title/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,598,98.5,1
gmd:CI_Citation/gmd:alternateTitle/gco:CharacterString,198,32.6,1
gmd:CI_Citation/gmd:alternateTitle/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,193,31.8,1
gmd:CI_Citation/gmd:date,607,100.0,1
gmd:CI_Date/gmd:date/gco:Date,605,99.7,1
gmd:CI_Date/gmd:dateType/gmd:CI_DateTypeCode,607,100.0,1
gmd:CI_Citation/gmd:presentationForm/gmd:CI_PresentationFormCode,520,85.7,1
che:CHE_MD_DataIdentification/gmd:abstract/gco:CharacterString,546,90.0,1
che:CHE_MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,449,74.0,1
che:CHE_MD_DataIdentification/gmd:status/gmd:MD_ProgressCode,548,90.3,1
che:CHE_MD_DataIdentification/gmd:pointOfContact,552,90.9,1
che:CHE_MD_DataIdentification/gmd:resourceMaintenance,504,83.0,1
che:CHE_MD_MaintenanceInformation/gmd:maintenanceAndUpdateFrequency/gmd:MD_MaintenanceFrequencyCode,533,87.8,1
che:CHE_MD_MaintenanceInformation/gmd:dateOfNextUpdate/gco:Date,13,2.1,1
che:CHE_MD_DataIdentification/gmd:resourceFormat,597,98.4,1
gmd:MD_Format/gmd:name/gco:CharacterString,606,99.8,1
gmd:MD_Format/gmd:version/gco:CharacterString,606,99.8,1
che:CHE_MD_DataIdentification/gmd:descriptiveKeywords,600,98.8,1
gmd:MD_Keywords/gmd:keyword/gco:CharacterString,599,98.7,1
gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,585,96.4,1
gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,600,98.8,1
gmd:MD_Keywords/gmd:thesaurusName,600,98.8,1
gmd:CI_Citation/gmd:identifier,601,99.0,1
gmd:MD_Identifier/gmd:code/gmx:Anchor,600,98.8,1
che:CHE_MD_DataIdentification/gmd:resourceConstraints,547,90.1,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints/gco:CharacterString,506,83.4,1
che:CHE_MD_LegalConstraints/gmd:otherConstraints/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,507,83.5,1
che:CHE_MD_DataIdentification/gmd:spatialRepresentationType/gmd:MD_SpatialRepresentationTypeCode,588,96.9,1
che:CHE_MD_DataIdentification/gmd:spatialResolution,463,76.3,1
gmd:MD_Resolution/gmd:equivalentScale,362,59.6,1
gmd:MD_RepresentativeFraction/gmd:denominator/gco:Integer,362,59.6,1
che:CHE_MD_DataIdentification/gmd:language/gmd:LanguageCode,607,100.0,1
che:CHE_MD_DataIdentification/gmd:characterSet/gmd:MD_CharacterSetCode,552,90.9,1
che:CHE_MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode,607,100.0,1
che:CHE_MD_DataIdentification/gmd:environmentDescription/gco:CharacterString,557,91.8,1
che:CHE_MD_DataIdentification/gmd:environmentDescription/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,548,90.3,1
che:CHE_MD_DataIdentification/gmd:extent,607,100.0,1
gmd:EX_Extent/gmd:description/gco:CharacterString,607,100.0,1
gmd:EX_Extent/gmd:description/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,598,98.5,1
gmd:EX_Extent/gmd:geographicElement,607,100.0,1
gmd:EX_GeographicBoundingBox/gmd:westBoundLongitude/gco:Decimal,607,100.0,1
gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal,607,100.0,1
gmd:EX_GeographicBoundingBox/gmd:southBoundLatitude/gco:Decimal,607,100.0,1
gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal,607,100.0,1
gmd:EX_BoundingPolygon/gmd:polygon/gml:MultiSurface/gml:surfaceMember/gml:Polygon/gml:exterior/gml:LinearRing/gml:posList,607,100.0,1
gmd:EX_BoundingPolygon/gmd:polygon/gml:MultiSurface/gml:surfaceMember/gml:Polygon/gml:interior/gml:LinearRing/gml:posList,502,82.7,1
che:CHE_MD_Metadata/gmd:contentInfo,453,74.6,1
che:CHE_MD_FeatureCatalogueDescription/gmd:includedWithDataset/gco:Boolean,445,73.3,1
che:CHE_MD_FeatureCatalogueDescription/gmd:featureCatalogueCitation,446,73.5,1
che:CHE_MD_FeatureCatalogueDescription/che:class,367,60.5,1
che:CHE_MD_Class/che:name/gco:CharacterString,367,60.5,1
che:CHE_MD_Class/che:description/gco:CharacterString,193,31.8,1
che:CHE_MD_Class,334,55.0,1
che:attribute/che:name/gco:CharacterString,334,55.0,1
che:attribute/che:description/gco:CharacterString,325,53.5,1
che:CHE_MD_FeatureCatalogueDescription/che:modelType/che:CHE_MD_modelTypeCode,446,73.5,1
che:CHE_MD_Metadata/gmd:distributionInfo,577,95.1,1
gmd:MD_Distribution/gmd:distributionFormat,577,95.1,1
gmd:MD_Distribution/gmd:transferOptions,278,45.8,1
gmd:MD_DigitalTransferOptions/gmd:onLine,278,45.8,1
