XPATH,Count
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword/gco:CharacterString,101
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,99
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:thesaurusName/gmd:CI_Citation,405
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:type/gmd:MD_KeywordTypeCode,101
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/gmd:graphicOverview/gmd:MD_BrowseGraphic/gmd:fileDescription/gco:CharacterString,1
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/gmd:graphicOverview/gmd:MD_BrowseGraphic/gmd:fileName/gco:CharacterString,1
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/gmd:pointOfContact/che:CHE_CI_ResponsibleParty,1470
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/gmd:purpose/gco:CharacterString,13
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/gmd:purpose/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,12
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/gmd:resourceConstraints,234
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/gmd:resourceFormat/gmd:MD_Format,20
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/gmd:resourceMaintenance/che:CHE_MD_MaintenanceInformation,12
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:accessProperties/gmd:MD_StandardOrderProcess,20
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:DCP/srv:DCPList,107
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:connectPoint/gmd:CI_OnlineResource,318
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:operationName/gco:CharacterString,107
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:coupledResource/srv:SV_CoupledResource/gco:ScopedName,17
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:coupledResource/srv:SV_CoupledResource/srv:identifier/gco:CharacterString,51
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:coupledResource/srv:SV_CoupledResource/srv:operationName/gco:CharacterString,51
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:couplingType/srv:SV_CouplingType,107
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:extent/gmd:EX_Extent,667
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:keywords/gmd:MD_Keywords/gmd:keyword/gco:CharacterString,2
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:restrictions/che:CHE_MD_LegalConstraints/gmd:accessConstraints/gmd:MD_RestrictionCode,2
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:restrictions/che:CHE_MD_LegalConstraints/gmd:otherConstraints/gco:CharacterString,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:restrictions/che:CHE_MD_LegalConstraints/gmd:otherConstraints/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,2
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:restrictions/che:CHE_MD_LegalConstraints/gmd:useConstraints/gmd:MD_RestrictionCode,2
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:restrictions/che:CHE_MD_LegalConstraints/gmd:useLimitation/gco:CharacterString,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:restrictions/che:CHE_MD_LegalConstraints/gmd:useLimitation/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,2
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:serviceType/gco:LocalName,107
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:serviceTypeVersion/gco:CharacterString,99
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:invocationName/gco:CharacterString,1
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:operationDescription/gco:CharacterString,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:operationDescription/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,3
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:parameters/srv:SV_Parameter/srv:description/gco:CharacterString,2
gmd:identificationInfo/che:CHE_SV_ServiceIdentification/srv:containsOperations/srv:SV_OperationMetadata/srv:parameters/srv:SV_Parameter/srv:description/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString,2
