#-----Metadata-----#
Attribute,Metadata_count,Metadata_%,Group_count
srv:SV_CoupledResource/srv:identifier/gco:CharacterString,207,1.4,11
srv:SV_CoupledResource/srv:operationName/gco:CharacterString,207,1.4,11
srv:SV_CoupledResource/gco:ScopedName,146,1.0,8

gml:CodeType/code,0,0.0,0
gml:CodeType/codeSpace,0,0.0,0

#-----Constraints Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:MD_Constraints/gmd:useLimitation/gco:CharacterString,2842,19.3,36

che:CHE_MD_LegalConstraints/gmd:accessConstraints/gmd:MD_RestrictionCode,2596,17.6,33
che:CHE_MD_LegalConstraints/gmd:useConstraints/gmd:MD_RestrictionCode,5107,34.6,45
che:CHE_MD_LegalConstraints/gmd:otherConstraints,6490,44.0,54

gmd:MD_SecurityConstraints/gmd:classification/gmd:MD_ClassificationCode,620,4.2,25

#-----Data Quality Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:DQ_DataQuality/gmd:scope,4252,28.8,49
gmd:DQ_DataQuality/gmd:report,656,4.5,16
gmd:DQ_DataQuality/gmd:lineage,4009,27.2,48

gmd:LI_Lineage/gmd:statement/gco:CharacterString,3074,20.9,40
gmd:LI_Lineage/gmd:processStep,76,0.5,13
gmd:LI_Lineage/gmd:source,749,5.1,16

gmd:LI_ProcessStep/gmd:description/gco:CharacterString,79,0.5,12
gmd:LI_ProcessStep/gmd:dateTime,36,0.2,8

gmd:LI_Source/gmd:description/gco:CharacterString,370,2.5,12

gmd:DQ_Scope/gmd:level/gmd:MD_ScopeCode,3985,27.0,48
gmd:DQ_Scope/gmd:levelDescription,76,0.5,10

gmd:MD_ScopeDescription/gmd:other/gco:CharacterString,39,0.3,4

gmd:DQ_DomainConsistency/gmd:result,646,4.4,12

gmd:DQ_ConformanceResult/gmd:specification,643,4.4,12
gmd:DQ_ConformanceResult/gmd:explanation/gco:CharacterString,643,4.4,12
gmd:DQ_ConformanceResult/gmd:pass/gco:Boolean,643,4.4,12

#-----Maintenance Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_MaintenanceInformation/gmd:maintenanceAndUpdateFrequency/gmd:MD_MaintenanceFrequencyCode,10945,74.3,63
che:CHE_MD_MaintenanceInformation/gmd:dateOfNextUpdate/gco:DateTime,14,0.1,2
che:CHE_MD_MaintenanceInformation/gmd:userDefinedMaintenanceFrequency/gts:TM_PeriodDuration,573,3.9,13
che:CHE_MD_MaintenanceInformation/gmd:updateScope/gmd:MD_ScopeCode,41,0.3,5
che:CHE_MD_MaintenanceInformation/che:dateOfMonitoringState/gco:Date,5,0.0,4
che:CHE_MD_MaintenanceInformation/gmd:maintenanceNote/gco:CharacterString,687,4.7,19
che:CHE_MD_MaintenanceInformation/che:archiveConcept,26,0.2,9
che:CHE_MD_MaintenanceInformation/che:historyConcept,11,0.1,7

che:CHE_MD_ArchiveConcept/che:archiveConceptCitation,3,0.0,3
che:CHE_MD_ArchiveConcept/che:archiveConceptURL/che:LocalisedURL,6,0.0,4

che:CHE_MD_HistoryConcept/che:historyConceptCitation,5,0.0,4
che:CHE_MD_HistoryConcept/che:historyConceptURL/che:LocalisedURL,6,0.0,4

#-----Spatial Representation Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:MD_GridSpatialRepresentation/gmd:numberOfDimensions/gco:Integer,62,0.4,8
gmd:MD_GridSpatialRepresentation/gmd:axisDimensionProperties,5,0.0,1
gmd:MD_GridSpatialRepresentation/gmd:cellGeometry/gmd:MD_CellGeometryCode,62,0.4,8
gmd:MD_GridSpatialRepresentation/gmd:transformationParameterAvailability/gco:Boolean,62,0.4,8

gmd:MD_VectorSpatialRepresentation/gmd:topologyLevel/gmd:MD_TopologyLevelCode,202,1.4,15
gmd:MD_VectorSpatialRepresentation/gmd:geometricObjects,2944,20.0,45

gmd:MD_Dimension/gmd:dimensionName/gmd:MD_DimensionNameTypeCode,6,0.0,2
gmd:MD_Dimension/gmd:dimensionSize/gco:Integer,6,0.0,2
gmd:MD_Dimension/gmd:resolution,6,0.0,2

gmd:MD_GeometricObjects/gmd:geometricObjectType/gmd:MD_GeometricObjectTypeCode,2942,20.0,45
gmd:MD_GeometricObjects/gmd:geometricObjectCount/gco:Integer,647,4.4,18

#-----Reference System Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier,11482,77.9,62

#-----Content Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_FeatureCatalogueDescription/gmd:complianceCode/gco:Boolean,249,1.7,5
che:CHE_MD_FeatureCatalogueDescription/gmd:language/gmd:LanguageCode,244,1.7,7
che:CHE_MD_FeatureCatalogueDescription/gmd:includedWithDataset/gco:Boolean,2171,14.7,29
che:CHE_MD_FeatureCatalogueDescription/gmd:featureTypes/gco:ScopedName,4,0.0,2
che:CHE_MD_FeatureCatalogueDescription/gmd:featureCatalogueCitation,2171,14.7,29
che:CHE_MD_FeatureCatalogueDescription/che:dataModel,465,3.2,18
che:CHE_MD_FeatureCatalogueDescription/che:class,1579,10.7,21
che:CHE_MD_FeatureCatalogueDescription/che:modelType/che:CHE_MD_modelTypeCode,2171,14.7,29

che:CHE_MD_CoverageDescription/gmd:attributeDescription/gco:RecordType,35,0.2,5
che:CHE_MD_CoverageDescription/gmd:contentType/gmd:MD_CoverageContentTypeCode,35,0.2,5

che:attribute/che:name/gco:CharacterString,989,6.7,18
che:attribute/che:description/gco:CharacterString,811,5.5,15

che:CHE_MD_Class/che:name/gco:CharacterString,1478,10.0,21
che:CHE_MD_Class/che:description/gco:CharacterString,626,4.2,14

#-----Portrayal catalogue information-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_PortrayalCatalogueReference/gmd:portrayalCatalogueCitation,118,0.8,13
che:CHE_MD_PortrayalCatalogueReference/che:portrayalCatalogueURL/gmd:URL,31,0.2,6

#-----Distribution Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
gmd:MD_Distribution/gmd:distributionFormat,13183,89.4,70
gmd:MD_Distribution/gmd:distributor,7731,52.4,44
gmd:MD_Distribution/gmd:transferOptions,12616,85.6,67

gmd:MD_DigitalTransferOptions/gmd:unitsOfDistribution/gco:CharacterString,565,3.8,13
gmd:MD_DigitalTransferOptions/gmd:onLine,12285,83.3,67
gmd:MD_DigitalTransferOptions/gmd:offLine,134,0.9,15

gmd:MD_Distributor/gmd:distributorContact,7045,47.8,35
gmd:MD_Distributor/gmd:distributionOrderProcess,661,4.5,16

gmd:MD_Format/gmd:name/gco:CharacterString,13404,90.9,70
gmd:MD_Format/gmd:version/gco:CharacterString,13012,88.3,69

gmd:MD_Medium/gmd:name/gmd:MD_MediumNameCode,129,0.9,13

gmd:MD_StandardOrderProcess/gmd:fees/gco:CharacterString,660,4.5,15

gmd:CI_OnlineResource/gmd:linkage/gmd:URL,10024,68.0,66
gmd:CI_OnlineResource/gmd:protocol/gco:CharacterString,13702,93.0,70
gmd:CI_OnlineResource/gmd:name/gco:CharacterString,6725,45.6,57
gmd:CI_OnlineResource/gmd:description/gco:CharacterString,7864,53.4,66
gmd:CI_OnlineResource/gmd:function/gmd:CI_OnLineFunctionCode,4320,29.3,60

#-----Revision Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_Revision/che:revisionScope/gmd:MD_ScopeCode,18,0.1,3
che:CHE_MD_Revision/che:dateOfLastUpdate/gco:Date,5,0.0,3
che:CHE_MD_Revision/che:revisionNote/gco:CharacterString,8,0.1,3

#-----Legislation Information-----#
Attribute,Metadata_count,Metadata_%,Group_count
che:CHE_MD_Legislation/che:title,1451,9.8,38
